Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,The Eight Hundred,"$461,196,915","$372,755",<0.1%,"$460,824,160",99.9%
2,Bad Boys for Life,"$426,505,244","$206,305,244",48.4%,"$220,200,000",51.6%
3,Tenet,"$357,800,000","$57,400,000",16%,"$300,400,000",84%
4,Sonic the Hedgehog,"$319,925,496","$146,066,470",45.7%,"$173,859,026",54.3%
5,Dolittle,"$245,802,698","$77,047,065",31.3%,"$168,755,633",68.7%
6,Legend of Deification,"$240,622,766","$214,670",<0.1%,"$240,408,096",99.9%
7,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,"$201,858,461","$84,158,461",41.7%,"$117,700,000",58.3%
8,Onward,"$141,497,742","$61,555,145",43.5%,"$79,942,597",56.5%
9,The Invisible Man,"$130,560,433","$64,914,050",49.7%,"$65,646,383",50.3%
10,The Call of the Wild,"$109,457,681","$62,342,368",57%,"$47,115,313",43%
11,Mulan,"$66,800,000",-,-,"$66,800,000",100%
12,Vanguard,"$50,481,797","$760,951",1.5%,"$49,720,846",98.5%
13,Fantasy Island,"$48,811,343","$27,309,289",55.9%,"$21,502,054",44.1%
14,After We Collided,"$47,986,949","$2,383,018",5%,"$45,603,931",95%
15,The New Mutants,"$46,109,612","$23,827,894",51.7%,"$22,281,718",48.3%
16,Greenland,"$43,100,000",-,-,"$43,100,000",100%
17,Unhinged,"$42,831,465","$20,831,465",48.6%,"$22,000,000",51.4%
18,Underwater,"$40,882,928","$17,291,078",42.3%,"$23,591,850",57.7%
19,Train to Busan Presents: Peninsula,"$39,015,921","$1,231,407",3.2%,"$37,784,514",96.8%
20,The Croods: A New Age,"$37,805,000","$17,010,000",45%,"$20,795,000",55%
21,Trolls World Tour,"$34,911,921",-,-,"$34,911,921",100%
22,The Man Standing Next,"$34,664,900","$113,527",0.3%,"$34,551,373",99.7%
23,Bloodshot,"$33,482,340","$12,561,824",37.5%,"$20,920,516",62.5%
